dataset,attack,n,rate,seed,mode,method,auroc,auprc,budget_pct,tp,fp,fn,tn,n_flagged,precision,recall,f1,fpr
imdb,cf,10000,0.01,42,full,PD_observed,0.9629787878787879,0.3580504798349108,1,41,59,59,9841,100,0.41,0.41,0.41,0.00595959595959596
imdb,cf,10000,0.01,42,full,PD_observed,0.9629787878787879,0.3580504798349108,3,65,235,35,9665,300,0.21666666666666667,0.65,0.325,0.023737373737373738
imdb,cf,10000,0.01,42,full,PD_observed,0.9629787878787879,0.3580504798349108,5,80,420,20,9480,500,0.16,0.8,0.26666666666666666,0.04242424242424243
imdb,cf,10000,0.01,42,full,PD_observed,0.9629787878787879,0.3580504798349108,10,90,910,10,8990,1000,0.09,0.9,0.16363636363636364,0.09191919191919191
imdb,cf,10000,0.01,42,full,PD_max_abs,0.9629787878787879,0.3580504798349108,1,41,59,59,9841,100,0.41,0.41,0.41,0.00595959595959596
imdb,cf,10000,0.01,42,full,PD_max_abs,0.9629787878787879,0.3580504798349108,3,65,235,35,9665,300,0.21666666666666667,0.65,0.325,0.023737373737373738
imdb,cf,10000,0.01,42,full,PD_max_abs,0.9629787878787879,0.3580504798349108,5,80,420,20,9480,500,0.16,0.8,0.26666666666666666,0.04242424242424243
imdb,cf,10000,0.01,42,full,PD_max_abs,0.9629787878787879,0.3580504798349108,10,90,910,10,8990,1000,0.09,0.9,0.16363636363636364,0.09191919191919191
imdb,cf,10000,0.01,42,full,PD_positive_oracle,0.9761202020202021,0.4401196706661747,1,46,54,54,9846,100,0.46,0.46,0.46,0.005454545454545455
imdb,cf,10000,0.01,42,full,PD_positive_oracle,0.9761202020202021,0.4401196706661747,3,74,226,26,9674,300,0.24666666666666667,0.74,0.37,0.02282828282828283
imdb,cf,10000,0.01,42,full,PD_positive_oracle,0.9761202020202021,0.4401196706661747,5,83,417,17,9483,500,0.166,0.83,0.27666666666666667,0.04212121212121212
imdb,cf,10000,0.01,42,full,PD_positive_oracle,0.9761202020202021,0.4401196706661747,10,92,908,8,8992,1000,0.092,0.92,0.16727272727272727,0.09171717171717171
imdb,cf,10000,0.01,42,full,base_label_NLL,0.9337090909090908,0.24320309186068925,1,38,62,62,9838,100,0.38,0.38,0.38,0.006262626262626263
imdb,cf,10000,0.01,42,full,base_label_NLL,0.9337090909090908,0.24320309186068925,3,56,244,44,9656,300,0.18666666666666668,0.56,0.28,0.024646464646464646
imdb,cf,10000,0.01,42,full,base_label_NLL,0.9337090909090908,0.24320309186068925,5,66,434,34,9466,500,0.132,0.66,0.22,0.043838383838383836
imdb,cf,10000,0.01,42,full,base_label_NLL,0.9337090909090908,0.24320309186068925,10,78,922,22,8978,1000,0.078,0.78,0.14181818181818182,0.09313131313131313
imdb,cf,10000,0.01,42,full,adapted_label_NLL,0.3712484848484848,0.007201200133801839,1,0,100,100,9800,100,0.0,0.0,0.0,0.010101010101010102
imdb,cf,10000,0.01,42,full,adapted_label_NLL,0.3712484848484848,0.007201200133801839,3,0,300,100,9600,300,0.0,0.0,0.0,0.030303030303030304
imdb,cf,10000,0.01,42,full,adapted_label_NLL,0.3712484848484848,0.007201200133801839,5,0,500,100,9400,500,0.0,0.0,0.0,0.050505050505050504
imdb,cf,10000,0.01,42,full,adapted_label_NLL,0.3712484848484848,0.007201200133801839,10,0,1000,100,8900,1000,0.0,0.0,0.0,0.10101010101010101
imdb,cf,10000,0.01,42,full,ZScore_token,0.2792848484848485,0.008321351908676985,1,0,100,100,9800,100,0.0,0.0,0.0,0.010101010101010102
imdb,cf,10000,0.01,42,full,ZScore_token,0.2792848484848485,0.008321351908676985,3,0,300,100,9600,300,0.0,0.0,0.0,0.030303030303030304
imdb,cf,10000,0.01,42,full,ZScore_token,0.2792848484848485,0.008321351908676985,5,0,500,100,9400,500,0.0,0.0,0.0,0.050505050505050504
imdb,cf,10000,0.01,42,full,ZScore_token,0.2792848484848485,0.008321351908676985,10,0,1000,100,8900,1000,0.0,0.0,0.0,0.10101010101010101
imdb,cf,10000,0.01,42,full,ZScore_released_unigram,0.45532222222222213,0.024401649960014888,1,11,89,89,9811,100,0.11,0.11,0.11,0.00898989898989899
imdb,cf,10000,0.01,42,full,ZScore_released_unigram,0.45532222222222213,0.024401649960014888,3,18,282,82,9618,300,0.06,0.18,0.09,0.028484848484848484
imdb,cf,10000,0.01,42,full,ZScore_released_unigram,0.45532222222222213,0.024401649960014888,5,29,471,71,9429,500,0.058,0.29,0.09666666666666666,0.04757575757575758
imdb,cf,10000,0.01,42,full,ZScore_released_unigram,0.45532222222222213,0.024401649960014888,10,29,971,71,8929,1000,0.029,0.29,0.05272727272727273,0.09808080808080807
imdb,cf,10000,0.01,43,full,PD_KL,0.917580808080808,0.17677695926365386,1,28,72,72,9828,100,0.28,0.28,0.28,0.007272727272727273
imdb,cf,10000,0.01,43,full,PD_KL,0.917580808080808,0.17677695926365386,3,51,249,49,9651,300,0.17,0.51,0.255,0.02515151515151515
imdb,cf,10000,0.01,43,full,PD_KL,0.917580808080808,0.17677695926365386,5,63,437,37,9463,500,0.126,0.63,0.21,0.04414141414141414
imdb,cf,10000,0.01,43,full,PD_KL,0.917580808080808,0.17677695926365386,10,76,924,24,8976,1000,0.076,0.76,0.13818181818181818,0.09333333333333334
imdb,cf,10000,0.01,43,full,PD_label_KL,0.9184939393939394,0.17869894079947357,1,28,72,72,9828,100,0.28,0.28,0.28,0.007272727272727273
imdb,cf,10000,0.01,43,full,PD_label_KL,0.9184939393939394,0.17869894079947357,3,51,249,49,9651,300,0.17,0.51,0.255,0.02515151515151515
imdb,cf,10000,0.01,43,full,PD_label_KL,0.9184939393939394,0.17869894079947357,5,63,437,37,9463,500,0.126,0.63,0.21,0.04414141414141414
imdb,cf,10000,0.01,43,full,PD_label_KL,0.9184939393939394,0.17869894079947357,10,76,924,24,8976,1000,0.076,0.76,0.13818181818181818,0.09333333333333334
imdb,cf,10000,0.01,43,full,PD_observed,0.9731464646464646,0.5308102695320988,1,58,42,42,9858,100,0.58,0.58,0.58,0.004242424242424243
imdb,cf,10000,0.01,43,full,PD_observed,0.9731464646464646,0.5308102695320988,3,81,219,19,9681,300,0.27,0.81,0.405,0.02212121212121212
imdb,cf,10000,0.01,43,full,PD_observed,0.9731464646464646,0.5308102695320988,5,86,414,14,9486,500,0.172,0.86,0.2866666666666667,0.04181818181818182
imdb,cf,10000,0.01,43,full,PD_observed,0.9731464646464646,0.5308102695320988,10,92,908,8,8992,1000,0.092,0.92,0.16727272727272727,0.09171717171717171
imdb,cf,10000,0.01,43,full,PD_max_abs,0.9731464646464646,0.5308102695320988,1,58,42,42,9858,100,0.58,0.58,0.58,0.004242424242424243
imdb,cf,10000,0.01,43,full,PD_max_abs,0.9731464646464646,0.5308102695320988,3,81,219,19,9681,300,0.27,0.81,0.405,0.02212121212121212
imdb,cf,10000,0.01,43,full,PD_max_abs,0.9731464646464646,0.5308102695320988,5,86,414,14,9486,500,0.172,0.86,0.2866666666666667,0.04181818181818182
imdb,cf,10000,0.01,43,full,PD_max_abs,0.9731464646464646,0.5308102695320988,10,92,908,8,8992,1000,0.092,0.92,0.16727272727272727,0.09171717171717171
imdb,cf,10000,0.01,43,full,PD_positive_oracle,0.9809282828282828,0.5504735181862557,1,61,39,39,9861,100,0.61,0.61,0.61,0.00393939393939394
imdb,cf,10000,0.01,43,full,PD_positive_oracle,0.9809282828282828,0.5504735181862557,3,82,218,18,9682,300,0.2733333333333333,0.82,0.41,0.02202020202020202
imdb,cf,10000,0.01,43,full,PD_positive_oracle,0.9809282828282828,0.5504735181862557,5,88,412,12,9488,500,0.176,0.88,0.29333333333333333,0.041616161616161614
imdb,cf,10000,0.01,43,full,PD_positive_oracle,0.9809282828282828,0.5504735181862557,10,96,904,4,8996,1000,0.096,0.96,0.17454545454545456,0.09131313131313132
imdb,cf,10000,0.01,43,full,base_label_NLL,0.9172636363636363,0.1710004185704541,1,26,74,74,9826,100,0.26,0.26,0.26,0.007474747474747475
imdb,cf,10000,0.01,43,full,base_label_NLL,0.9172636363636363,0.1710004185704541,3,51,249,49,9651,300,0.17,0.51,0.255,0.02515151515151515
imdb,cf,10000,0.01,43,full,base_label_NLL,0.9172636363636363,0.1710004185704541,5,62,438,38,9462,500,0.124,0.62,0.20666666666666667,0.04424242424242424
